State,Commodity,Min_Price,Max_Price,Modal_Price,Month,Day,Price_Spread,Season
Rajasthan,Tender Coconut,4800.0,5200.0,5000.0,3,30,400.0,Summer
Rajasthan,Bhindi(Ladies Finger),5800.0,6200.0,6000.0,3,30,400.0,Summer
Rajasthan,Sponge gourd,4800.0,5200.0,5000.0,3,30,400.0,Summer
Rajasthan,Chikoos(Sapota),2800.0,3200.0,3000.0,3,30,400.0,Summer
Rajasthan,Guava,6800.0,7200.0,7000.0,3,30,400.0,Summer
Rajasthan,Capsicum,3000.0,3400.0,3200.0,3,30,400.0,Summer
Rajasthan,Mango(Raw-Ripe),5800.0,6200.0,6000.0,3,30,400.0,Summer
Uttar Pradesh,Wood,580.0,600.0,590.0,3,30,20.0,Summer
Tamil Nadu,Bitter gourd,3800.0,4000.0,3900.0,3,30,200.0,Summer
Tamil Nadu,Tapioca,2300.0,2500.0,2400.0,3,30,200.0,Summer
Tamil Nadu,Cucumbar(Kheera),3800.0,4000.0,3900.0,3,30,200.0,Summer
Tamil Nadu,Indian Beans(Seam),5000.0,5500.0,5250.0,3,30,500.0,Summer
Tamil Nadu,Potato,2800.0,3000.0,2900.0,3,30,200.0,Summer
Tamil Nadu,Bhindi(Ladies Finger),4500.0,5000.0,4750.0,3,30,500.0,Summer
Tamil Nadu,Beans,7000.0,7500.0,7250.0,3,30,500.0,Summer
Tamil Nadu,Coconut,5000.0,5500.0,5250.0,3,30,500.0,Summer
Tamil Nadu,Onion,2500.0,2500.0,2500.0,3,30,0.0,Summer
Tamil Nadu,Chikoos(Sapota),3500.0,3500.0,3500.0,3,30,0.0,Summer
Tamil Nadu,Bitter gourd,3200.0,3200.0,3200.0,3,30,0.0,Summer
Tamil Nadu,Ashgourd,2000.0,2000.0,2000.0,3,30,0.0,Summer
Tamil Nadu,Beans,5200.0,5200.0,5200.0,3,30,0.0,Summer
Tamil Nadu,Ginger(Green),6500.0,6500.0,6500.0,3,30,0.0,Summer
Tamil Nadu,Beetroot,2400.0,2400.0,2400.0,3,30,0.0,Summer
Tamil Nadu,Cucumbar(Kheera),2500.0,2500.0,2500.0,3,30,0.0,Summer
Tamil Nadu,Onion,2500.0,2500.0,2500.0,3,30,0.0,Summer
Tamil Nadu,Cluster beans,4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Cowpea(Veg),4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Tapioca,2500.0,2500.0,2500.0,3,30,0.0,Summer
Tamil Nadu,Coconut,4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Raddish,1800.0,1800.0,1800.0,3,30,0.0,Summer
Tamil Nadu,Drumstick,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Mango(Raw-Ripe),4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Banana,2000.0,3000.0,2500.0,3,30,1000.0,Summer
Tamil Nadu,Brinjal,3000.0,4000.0,3500.0,3,30,1000.0,Summer
Tamil Nadu,Cluster beans,4000.0,5000.0,4500.0,3,30,1000.0,Summer
Tamil Nadu,Bottle gourd,1000.0,1500.0,1250.0,3,30,500.0,Summer
Tamil Nadu,Ashgourd,1000.0,1500.0,1250.0,3,30,500.0,Summer
Tamil Nadu,Bhindi(Ladies Finger),3000.0,4000.0,3500.0,3,30,1000.0,Summer
Tamil Nadu,Amaranthus,1000.0,2000.0,1500.0,3,30,1000.0,Summer
Tamil Nadu,Banana - Green,2000.0,3000.0,2500.0,3,30,1000.0,Summer
Tamil Nadu,Cauliflower,3500.0,4000.0,3750.0,3,30,500.0,Summer
Tamil Nadu,Coriander(Leaves),5500.0,6000.0,5750.0,3,30,500.0,Summer
Tamil Nadu,Papaya,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Green Avare(W),7000.0,8000.0,7500.0,3,30,1000.0,Summer
Tamil Nadu,Elephant Yam(Suran)/Amorphophallus,3000.0,4000.0,3500.0,3,30,1000.0,Summer
Punjab,Guava,2500.0,2500.0,2500.0,3,30,0.0,Summer
Punjab,Cauliflower,1200.0,1500.0,1350.0,3,30,300.0,Summer
West Bengal,Potato,700.0,740.0,720.0,3,30,40.0,Summer
Uttar Pradesh,Carrot,800.0,1000.0,900.0,3,30,200.0,Summer
Uttar Pradesh,Raddish,800.0,1000.0,900.0,3,30,200.0,Summer
Nagaland,Pumpkin,3000.0,3500.0,3200.0,3,30,500.0,Summer
West Bengal,Onion,2700.0,2900.0,2800.0,3,30,200.0,Summer
West Bengal,Tomato,2100.0,2300.0,2200.0,3,30,200.0,Summer
Tamil Nadu,Snakeguard,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Cauliflower,3000.0,3400.0,3200.0,3,30,400.0,Summer
Tamil Nadu,Brinjal,3400.0,4400.0,3900.0,3,30,1000.0,Summer
Tamil Nadu,Coriander(Leaves),4400.0,5000.0,4700.0,3,30,600.0,Summer
Tamil Nadu,Bitter gourd,4000.0,4500.0,4250.0,3,30,500.0,Summer
Tamil Nadu,Coconut,5000.0,5300.0,5150.0,3,30,300.0,Summer
Tamil Nadu,Ridgeguard(Tori),4000.0,4500.0,4250.0,3,30,500.0,Summer
Tamil Nadu,Onion,2500.0,3000.0,2750.0,3,30,500.0,Summer
Tamil Nadu,Coriander(Leaves),4500.0,6000.0,5250.0,3,30,1500.0,Summer
Tamil Nadu,Tomato,1600.0,2000.0,1800.0,3,30,400.0,Summer
Tamil Nadu,Cluster beans,3000.0,4000.0,3500.0,3,30,1000.0,Summer
Tamil Nadu,Bitter gourd,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Pumpkin,1000.0,1000.0,1000.0,3,30,0.0,Summer
Tamil Nadu,Bhindi(Ladies Finger),3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Banana - Green,2500.0,3000.0,2750.0,3,30,500.0,Summer
Tamil Nadu,Mango(Raw-Ripe),4000.0,5000.0,4500.0,3,30,1000.0,Summer
Tamil Nadu,Onion Green,3600.0,4000.0,3800.0,3,30,400.0,Summer
Tamil Nadu,Paddy(Common),1400.0,1950.0,1675.0,3,30,550.0,Summer
Tamil Nadu,Bottle gourd,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Amaranthus,1500.0,2000.0,1750.0,3,30,500.0,Summer
Tamil Nadu,Chow Chow,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Papaya,2500.0,3000.0,2750.0,3,30,500.0,Summer
Tamil Nadu,Tomato,1500.0,1800.0,1650.0,3,30,300.0,Summer
Tamil Nadu,Bottle gourd,1200.0,1400.0,1300.0,3,30,200.0,Summer
Tamil Nadu,Amaranthus,3000.0,4000.0,3500.0,3,30,1000.0,Summer
Tamil Nadu,Beans,6500.0,8000.0,7250.0,3,30,1500.0,Summer
Tamil Nadu,Cucumbar(Kheera),7000.0,8000.0,7500.0,3,30,1000.0,Summer
Tamil Nadu,Drumstick,2500.0,3000.0,2750.0,3,30,500.0,Summer
Tamil Nadu,Onion Green,3000.0,3200.0,3100.0,3,30,200.0,Summer
Tamil Nadu,Mint(Pudina),4500.0,5000.0,4750.0,3,30,500.0,Summer
Tamil Nadu,Sweet Corn ,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Onion,2500.0,3000.0,2750.0,3,30,500.0,Summer
Tamil Nadu,Bottle gourd,1200.0,1500.0,1350.0,3,30,300.0,Summer
Tamil Nadu,Beans,7500.0,8000.0,7750.0,3,30,500.0,Summer
Tamil Nadu,Coconut,5000.0,5500.0,5250.0,3,30,500.0,Summer
Tamil Nadu,Ridgeguard(Tori),4000.0,4500.0,4250.0,3,30,500.0,Summer
Tamil Nadu,Cluster beans,4200.0,6000.0,5100.0,3,30,1800.0,Summer
Tamil Nadu,Raddish,2400.0,2400.0,2400.0,3,30,0.0,Summer
Tamil Nadu,Thondekai,4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Drumstick,4200.0,4200.0,4200.0,3,30,0.0,Summer
Tamil Nadu,Guava,8000.0,8000.0,8000.0,3,30,0.0,Summer
Tamil Nadu,Indian Beans(Seam),7200.0,7200.0,7200.0,3,30,0.0,Summer
Tamil Nadu,Snakeguard,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Groundnut,6000.0,6000.0,6000.0,3,30,0.0,Summer
Tamil Nadu,Potato,2800.0,2800.0,2800.0,3,30,0.0,Summer
Tamil Nadu,Brinjal,3500.0,3500.0,3500.0,3,30,0.0,Summer
Tamil Nadu,Green Chilli,3000.0,3500.0,3250.0,3,30,500.0,Summer
Tamil Nadu,Beetroot,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Carrot,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Chow Chow,2500.0,2500.0,2500.0,3,30,0.0,Summer
Tamil Nadu,Mango(Raw-Ripe),5000.0,5000.0,5000.0,3,30,0.0,Summer
Tamil Nadu,Karbuja(Musk Melon),2000.0,2000.0,2000.0,3,30,0.0,Summer
Tamil Nadu,Paddy(Common),1641.0,2747.0,2194.0,3,30,1106.0,Summer
Tamil Nadu,Ragi(Finger Millet),3615.0,3615.0,3615.0,3,30,0.0,Summer
Tamil Nadu,Onion,3500.0,3500.0,3500.0,3,30,0.0,Summer
Tamil Nadu,Bhindi(Ladies Finger),4000.0,4000.0,4000.0,3,30,0.0,Summer
Tamil Nadu,Amaranthus,2000.0,2000.0,2000.0,3,30,0.0,Summer
Tamil Nadu,Banana - Green,3000.0,3000.0,3000.0,3,30,0.0,Summer
Tamil Nadu,Green Avare(W),7000.0,8000.0,7500.0,3,30,1000.0,Summer
Madhya Pradesh,Wheat,2180.0,2190.0,2190.0,3,30,10.0,Summer
Madhya Pradesh,Paddy(Common),2000.0,2000.0,2000.0,3,30,0.0,Summer
Gujarat,Banana,1950.0,2150.0,2075.0,3,30,200.0,Summer
Gujarat,Tomato,4000.0,4000.0,4000.0,3,30,0.0,Summer
Gujarat,Brinjal,200.0,1500.0,850.0,3,30,1300.0,Summer
Gujarat,Beetroot,700.0,1300.0,1000.0,3,30,600.0,Summer
Gujarat,Brinjal,900.0,2500.0,1700.0,3,30,1600.0,Summer
Odisha,Maize,1500.0,2100.0,1800.0,3,30,600.0,Summer
Odisha,Bhindi(Ladies Finger),3000.0,4050.0,3600.0,3,30,1050.0,Summer
Punjab,Bhindi(Ladies Finger),4500.0,5000.0,4800.0,3,30,500.0,Summer
Punjab,Onion,1400.0,1800.0,1500.0,3,30,400.0,Summer
Punjab,Banana,2800.0,3200.0,3000.0,3,30,400.0,Summer
Punjab,Ber(Zizyphus/Borehannu),3000.0,3400.0,3200.0,3,30,400.0,Summer
Punjab,Brinjal,1800.0,2200.0,2000.0,3,30,400.0,Summer
Punjab,Pineapple,4000.0,5000.0,4500.0,3,30,1000.0,Summer
Rajasthan,Potato,700.0,1600.0,1200.0,3,30,900.0,Summer
Rajasthan,Green Gram(Moong)(Whole),4500.0,4700.0,4500.0,3,30,200.0,Summer
West Bengal,Brinjal,1800.0,2200.0,2000.0,3,30,400.0,Summer
West Bengal,Cabbage,600.0,1000.0,800.0,3,30,400.0,Summer
Haryana,Banana,2000.0,3000.0,2500.0,3,30,1000.0,Summer
